2025-07-03T17:27:27.654+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2025-07-03T17:27:27.659+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2025-07-03T17:27:27.661+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2025-07-03T17:27:27.665+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2025-07-03T17:27:27.666+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2025-07-03T17:27:27.666+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2025-07-03T17:27:27.668+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
2025-07-03T17:27:27.671+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2025-07-03T17:27:27.688+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2025-07-03T17:27:27.702+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2025-07-03T17:27:27.705+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2025-07-03T17:27:27.706+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2025-07-03T17:27:27.707+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
2025-07-03T17:27:27.708+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preFilterAuthorizationAdvisor'
2025-07-03T17:27:27.709+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preFilterAuthorizationMethodInterceptor'
2025-07-03T17:27:27.725+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preAuthorizeAuthorizationAdvisor'
2025-07-03T17:27:27.725+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preAuthorizeAuthorizationMethodInterceptor'
2025-07-03T17:27:27.726+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'postFilterAuthorizationAdvisor'
2025-07-03T17:27:27.727+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'postFilterAuthorizationMethodInterceptor'
2025-07-03T17:27:27.729+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'postAuthorizeAuthorizationAdvisor'
2025-07-03T17:27:27.729+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'postAuthorizeAuthorizationMethodInterceptor'
2025-07-03T17:27:27.730+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authorizeReturnObjectAdvisor'
2025-07-03T17:27:27.730+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authorizeReturnObjectMethodInterceptor'
2025-07-03T17:27:27.731+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authorizationProxyFactory'
2025-07-03T17:27:27.732+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
